Data extracted on 04/12/2022 12:56:55 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Cows'milk collection and products obtained - annual data [APRO_MK_COLA],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,30/11/2022 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy and other animal products (except meat),,Raw cows' milk delivered to dairies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Thousand tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Germany (until 1990 former territory of the FRG),"18,318.09",,"18,611.99",,"18,370.39",,"17,994.09",,"18,523.49",,"18,811.90",,"19,076.31",,"19,366.51",,"20,046.09",,"20,577.64",,"21,443.00",,"22,050.40",,"22,921.09",,"23,032.39",,"23,669.74",,"25,175.79",,"24,303.75",,"23,636.77",,"24,196.00",,"22,181.33",,"21,647.10",,"21,930.54",,"21,473.79",,"26,408.62",b,"25,440.05",,"25,828.76",,"25,861.55",,"26,774.19",,"26,991.01",,"26,986.48",,"26,752.43",,"26,783.11",,"26,984.31",,"26,882.57",,"26,620.77",,"27,320.38",,"27,112.82",,"27,311.38",,"26,821.22",,"27,320.74",,"27,465.61",,"28,248.11",,"28,659.07",,"29,339.35",,"29,701.78",,"30,301.42",,"31,375.28",,"31,879.11",,"31,972.73",,"31,937.03",,"32,490.94",,"32,442.21",,"32,548.98",,"31,942.32",
Estonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,409.20,,427.60,,495.40,,485.10,,536.10,,571.00,,605.90,,593.40,,605.90,,592.00,,:,c,623.50,,649.10,,688.80,,730.00,,720.40,,714.70,,726.80,,748.10,,763.00,,787.80,,799.20,
Ireland,:,,:,,"2,790.65",,"2,891.01",,"3,061.48",,"3,148.39",,"2,981.80",,"3,308.10",,"3,608.40",,"3,922.70",,"4,492.30",,"4,610.90",,"4,556.10",,"4,525.40",,"4,948.50",,"5,341.10",,"5,585.00",,"5,681.60",,"5,478.30",,"5,388.20",,"5,196.40",,"5,252.10",,"5,268.30",,"5,018.90",,"5,271.40",,"5,201.70",,"5,271.60",,"5,288.40",,"5,297.10",,"5,256.20",,"5,091.20",,"5,121.00",,"5,160.30",,"5,338.10",,"5,181.60",,"5,310.00",,"5,267.80",,"5,061.20",,"5,224.50",,"5,224.70",,"5,089.94",,"4,927.53",,"5,327.02",,"5,536.68",,"5,379.70",,"5,583.69",,"5,816.23",,"6,585.13",,"6,851.63",,"7,475.42",,"7,810.24",,"8,226.62",,"8,542.27",,"9,018.37",
Greece,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,499.38,,443.91,,433.84,,410.84,,435.35,,449.20,,485.64,,485.96,,509.89,,533.27,,534.28,,507.47,,568.62,,583.55,,612.01,,521.75,,548.89,,550.04,,527.46,,555.72,,610.99,,562.43,,649.39,,646.93,,695.90,,731.39,,703.04,,690.22,,683.77,,687.73,,638.09,,663.73,,652.00,,619.00,,612.40,,619.00,,614.30,,620.20,,631.10,,652.18,,659.92,
Spain,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"4,631.60",,"4,547.70",,"4,377.20",,"4,484.90",,"4,501.50",,"5,828.90",,"5,435.00",,"5,352.00",,"4,925.90",,"5,048.40",,"5,417.90",,"5,487.84",,"5,377.70",,"5,661.73",,"5,431.81",,"5,811.76",,"5,954.69",,"5,892.99",,"5,906.58",,"5,913.94",p,"5,837.79",,"5,716.93",,"5,849.45",,"5,749.76",,"5,831.59",p,"5,950.32",p,"5,996.82",p,"6,299.55",p,"6,601.10",p,"6,871.80",,"6,863.71",p,"7,013.90",p,"7,120.80",p,"7,265.21",p,"7,427.61",p,"7,471.71",p
France,"19,245.86",,"18,754.28",,"18,525.74",,"19,078.31",,"20,636.81",,"21,094.49",,"21,137.48",,"21,374.50",,"21,502.50",,"22,131.40",,"22,708.01",,"23,693.10",,"24,919.80",,"25,057.80",,"25,568.10",,"26,050.00",,"26,100.30",,"25,458.20",,"25,997.50",,"24,906.40",,"24,091.90",,"23,684.50",,"24,146.20",,"23,379.40",,"23,045.80",,"22,754.90",,"23,223.60",,"23,424.58",,"23,108.91",,"22,921.58",,"22,969.30",,"23,120.88",,"23,282.13",,"23,196.22",,"23,634.16",,"23,117.70",,"22,908.06",,"23,324.71",,"22,908.54",,"22,981.69",,"23,815.39",,"22,844.58",,"23,375.29",,"24,630.98",,"24,535.96",,"23,988.94",,"25,308.50",,"25,374.92",,"24,453.33",d,"24,629.49",p,"24,542.54",p,"24,526.30",p,"24,602.21",p,"24,198.75",p
Croatia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,420.11,,457.44,,505.84,,541.08,,548.83,,623.92,,650.50,,673.47,,657.75,,675.25,,623.88,,626.45,,602.16,,503.85,,522.69,,513.43,,489.66,,476.79,,453.47,,435.59,,434.00,,428.94,
Italy,"6,721.21",,"6,789.11",,"6,857.68",,"6,926.95",,"6,996.92",,"7,067.25",,"7,141.62",,"6,822.06",,"6,951.47",,"7,185.90",,"7,387.00",,"7,788.31",,"7,992.11",,"7,803.38",,"8,072.94",,"8,223.46",,"8,266.47",,"8,591.15",,"8,547.53",,"8,708.86",,"8,554.14",,"8,436.46",,"10,025.72",,"9,894.31",,"9,746.14",,"9,500.57",,"9,539.52",,"9,708.20",,"9,905.24",,"9,877.20",,"10,291.54",,"10,325.41",,"10,083.61",,"10,005.80",,"9,984.80",,"9,991.76",,"9,969.20",,"10,127.00",p,"10,192.58",,"10,265.22",,"10,489.37",,"10,560.30",,"10,407.53",,"10,259.58",,"10,003.80",,"10,397.47",,"11,024.11",,"10,640.98",p,"10,773.15",p,"11,902.24",,"12,070.75",p,"11,965.01",p,"11,894.79",p,"13,042.03",
Cyprus,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,137.08,,132.44,,142.95,,151.81,,139.81,,143.79,,138.42,,143.65,,150.44,,148.51,,150.96,,152.62,,153.44,,156.67,,163.64,,162.31,,200.41,,216.26,,228.08,,238.18,,271.37,,298.11,
Latvia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,435.59,,463.61,,501.68,,592.32,,630.70,,634.81,,595.33,,625.24,,661.93,,718.38,,735.66,,804.50,,807.66,,814.01,,813.46,,780.64,,785.20,,790.50,,812.65,
Lithuania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,947.00,,982.40,,970.30,p,"1,025.50",,"1,138.60",,"1,201.55",,"1,296.84",,"1,349.53",,"1,382.11",,"1,275.38",,"1,278.25",,"1,317.42",,"1,359.90",,"1,339.49",,"1,435.50",,"1,438.03",,"1,416.31",,"1,403.06",,"1,366.59",,"1,358.09",,"1,359.69",,"1,348.85",
Luxembourg,197.99,,195.09,,202.19,,204.39,,218.99,,224.47,,238.57,,236.16,,239.42,,238.47,,246.29,,251.15,,253.52,,262.04,,271.71,,281.10,,293.07,,294.46,,291.65,,280.59,,269.34,,266.87,,271.76,,252.75,,248.87,,257.67,,251.10,,259.60,,255.92,,255.10,,255.19,,257.62,,255.66,,260.84,,261.20,,256.68,,257.90,,258.22,,254.63,,259.13,,264.70,,271.04,,281.78,,281.04,,277.33,,286.91,,305.54,,332.52,,361.99,,374.34,,394.78,,:,c,:,c,:,c
Hungary,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"1,682.72",,"1,589.56",,"1,519.00",,"1,447.74",,"1,447.73",,"1,425.27",,"1,407.12",,"1,321.86",,"1,307.92",,"1,398.24",,"1,364.23",,"1,470.19",,"1,536.06",,"1,547.14",,"1,545.46",,"1,535.30",,"1,575.72",,"1,625.67",,"1,739.26",
Malta,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,40.04,,41.11,,41.60,,41.25,,:,c,:,c,:,c,:,c,:,c,:,c,:,c,42.77,,41.57,,43.13,,41.02,,40.41,,41.51,,:,,39.54,
Netherlands,"7,243.00",,"7,394.00",,"7,748.00",,"7,913.00",,"8,461.00",,"8,850.29",,"9,385.79",,"9,863.90",,"10,153.40",,"10,217.40",,"10,957.50",,"11,223.30",,"11,510.43",,"11,855.80",,"12,487.61",,"12,881.10",,"12,525.49",,"12,263.63",,"12,345.60",,"11,341.80",,"11,047.60",,"10,878.16",,"10,738.30",,"10,569.80",,"10,503.20",,"10,559.50",,"10,468.40",,"10,811.10",,"10,759.00",,"10,518.80",,"10,541.20",,"10,682.90",,"10,550.55",,"10,683.06",,"10,476.42",,"10,694.33",,"10,531.82",,"10,407.43",,"10,625.57",,"10,737.20",,"10,935.98",,"11,468.60",,"11,626.10",,"11,641.70",,"11,675.60",,"12,212.60",,"12,473.00",,"13,330.90",,"14,324.20",,"14,295.90",,"13,880.80",,"13,801.90",,"13,986.60",,"13,603.40",
Austria,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"2,290.00",,"2,343.00",,"2,420.00",,"2,430.00",,"2,535.00",,"2,655.00",,"2,651.00",,"2,650.00",,"2,645.00",,"2,618.00",,"2,619.00",,"2,672.00",,"2,661.00",,"2,705.00",,"2,708.84",,"2,780.98",,"2,904.42",,"2,964.13",,"2,933.25",,"3,067.38",,"3,102.56",,"3,091.48",,"3,199.62",,"3,182.84",,"3,139.80",,"3,137.16",,"3,153.83",
Poland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"8,821.20",,"8,812.97",,"8,734.09",,"9,111.97",,"9,136.06",,"8,989.72",,"9,295.87",,"9,843.48",,"9,921.26",,"10,581.42",,"10,869.20",,"11,129.96",,"11,647.09",,"11,945.62",,"12,174.96",,"12,457.39",,"12,515.42",
Portugal,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"1,159.30",,"1,231.70",,"1,345.30",,"1,432.00",,"1,534.60",,"1,541.10",,"1,477.10",,"1,475.60",,"1,550.40",,"1,576.50",,"1,673.00",,"1,689.00",,"1,796.60",,"1,867.50",,"1,815.90",,"1,936.35",,"1,817.58",,"1,875.18",,"1,911.37",,"1,850.87",,"1,836.09",,"1,890.31",,"1,869.13",,"1,824.49",,"1,837.13",,"1,854.69",,"1,776.63",,"1,863.45",,"1,927.98",,"1,842.76",,"1,850.79",,"1,894.21",,"1,892.01",,"1,919.51",,"1,909.09",
Romania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,971.32,,"1,068.36",,"1,107.02",,"1,144.07",,"1,052.92",,977.53,,900.89,,891.52,,883.71,,879.07,,995.38,,915.95,,953.41,p,"1,028.33",,"1,109.31",p,"1,122.33",p,"1,134.90",p,"1,125.66",p
Slovenia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,453.90,,472.77,,487.68,,498.71,,503.35,,508.34,,511.02,,530.37,,524.32,,516.79,,519.50,,525.63,,535.06,,516.97,,531.69,,553.68,,574.71,,578.85,,570.64,,563.97,,580.11,,588.77,
Slovakia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"1,003.84",,976.46,,937.16,,967.94,,961.59,,964.11,,945.96,,852.36,,799.95,,811.50,,851.25,,826.73,,843.69,,864.63,,822.74,,825.89,,818.22,,814.73,,833.79,,822.96,
Finland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"2,365.06",,"2,328.80",,"2,370.00",,"2,362.60",,"2,394.40",,"2,442.10",,"2,459.00",,"2,447.20",,"2,398.90",,"2,372.70",,"2,361.70",,"2,347.60",,"2,293.03",,"2,253.93",,"2,281.25",,"2,288.56",,"2,255.31",,"2,254.04",,"2,286.81",,"2,357.15",,"2,394.32",,"2,389.53",,"2,365.92",,"2,353.69",,"2,329.67",,"2,362.11",,"2,271.91",
Sweden,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"3,243.01",,"3,231.20",,"3,239.80",,"3,277.50",,"3,299.10",,"3,296.90",,"3,290.40",,"3,226.30",,"3,206.20",,"3,229.20",,"3,162.80",,"3,130.27",,"2,985.86",,"2,954.77",,"2,930.84",,"2,859.66",,"2,850.40",,"2,861.17",,"2,867.55",,"2,931.25",,"2,933.16",,"2,861.99",,"2,816.65",,"2,760.23",,"2,704.39",,"2,772.74",,"2,782.22",
"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
European Free Trade Association,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"5,084.17",,"5,207.66",,"5,177.43",,:,,"5,107.99",,"5,149.15",,"5,054.85",,"5,079.46",,:,
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,106.12,,105.27,,106.38,,109.30,,110.50,,107.48,,:,,114.21,,111.80,,115.20,,112.72,,:,,:,,:,,:,,:,,:,,:,c,:,c,138.00,,149.99,,:,,155.65,,156.98,,156.39,,155.50,,153.29,
Norway,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"1,760.17",,"1,735.41",,"1,731.34",,"1,713.47",,"1,681.54",,"1,590.07",,"1,553.53",,"1,526.73",,"1,525.52",,:,,:,,:,,:,,:,,:,,:,,:,,:,,"1,574.00",,"1,558.00",,"1,570.00",,"1,572.10",,"1,542.80",,"1,565.20",,"1,526.36",,"1,545.06",,"1,575.49",
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"3,231.61",,"3,395.95",,"3,387.74",,:,,"3,445.69",,"3,444.19",,"3,383.17",,"3,511.66",,"3,457.44",,"3,406.80",,"3,409.54",,"3,426.97",,"3,372.09",,"3,378.90",,:,
United Kingdom,"11,812.43",,"11,953.02",,"12,201.45",,"12,556.50",,"13,433.07",,"13,700.33",,"13,298.08",,"13,314.53",,"13,828.79",,"14,659.18",,"15,385.33",,"15,420.59",,"15,469.16",,"15,394.95",,"16,280.29",,"16,800.57",,"15,761.89",,"15,585.60",,"15,795.97",,"14,950.47",,"14,582.40",,"14,339.33",,"14,551.00",,"14,130.30",,"13,956.70",,"14,071.70",,"14,332.57",,"14,074.99",,"14,057.84",,"14,260.82",,"14,063.29",,"14,455.55",,"13,931.51",,"14,155.72",,"14,359.34",,"14,554.30",,"14,114.37",,"14,038.38",p,"13,920.10",,"13,646.80",p,"13,350.40",p,"13,233.00",p,"13,583.80",p,"13,804.20",p,"13,590.60",p,"13,687.40",p,"14,828.80",p,"15,191.30",,"14,542.00",,"15,144.70",,"15,188.10",,"15,428.20",,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,25.20,,25.50,,25.10,,24.56,,25.96,,28.31,,27.96,,28.83,,:,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,115.59,,:,,132.52,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,57.36,p,64.39,,56.82,,56.27,,58.94,
